word,meaning
word1,의미_추가
word2,의미_추가
word3,의미_추가
word4,의미_추가
word5,의미_추가
word6,의미_추가
word7,의미_추가
word8,의미_추가
word9,의미_추가
word10,의미_추가
word11,의미_추가
word12,의미_추가
word13,의미_추가
word14,의미_추가
word15,의미_추가
word16,의미_추가
word17,의미_추가
word18,의미_추가
word19,의미_추가
word20,의미_추가
word21,의미_추가
word22,의미_추가
word23,의미_추가
word24,의미_추가
word25,의미_추가
word26,의미_추가
word27,의미_추가
word28,의미_추가
word29,의미_추가
word30,의미_추가
word31,의미_추가
word32,의미_추가
word33,의미_추가
word34,의미_추가
word35,의미_추가
word36,의미_추가
word37,의미_추가
word38,의미_추가
word39,의미_추가
word40,의미_추가
word41,의미_추가
word42,의미_추가
word43,의미_추가
word44,의미_추가
word45,의미_추가
word46,의미_추가
word47,의미_추가
word48,의미_추가
word49,의미_추가
word50,의미_추가
word51,의미_추가
word52,의미_추가
word53,의미_추가
word54,의미_추가
word55,의미_추가
word56,의미_추가
word57,의미_추가
word58,의미_추가
word59,의미_추가
word60,의미_추가
word61,의미_추가
word62,의미_추가
word63,의미_추가
word64,의미_추가
word65,의미_추가
word66,의미_추가
word67,의미_추가
word68,의미_추가
word69,의미_추가
word70,의미_추가
word71,의미_추가
word72,의미_추가
word73,의미_추가
word74,의미_추가
word75,의미_추가
word76,의미_추가
word77,의미_추가
word78,의미_추가
word79,의미_추가
word80,의미_추가
word81,의미_추가
word82,의미_추가
word83,의미_추가
word84,의미_추가
word85,의미_추가
word86,의미_추가
word87,의미_추가
word88,의미_추가
word89,의미_추가
word90,의미_추가
word91,의미_추가
word92,의미_추가
word93,의미_추가
word94,의미_추가
word95,의미_추가
word96,의미_추가
word97,의미_추가
word98,의미_추가
word99,의미_추가
word100,의미_추가
word101,의미_추가
word102,의미_추가
word103,의미_추가
word104,의미_추가
word105,의미_추가
word106,의미_추가
word107,의미_추가
word108,의미_추가
word109,의미_추가
word110,의미_추가
word111,의미_추가
word112,의미_추가
word113,의미_추가
word114,의미_추가
word115,의미_추가
word116,의미_추가
word117,의미_추가
word118,의미_추가
word119,의미_추가
word120,의미_추가
word121,의미_추가
word122,의미_추가
word123,의미_추가
word124,의미_추가
word125,의미_추가
word126,의미_추가
word127,의미_추가
word128,의미_추가
word129,의미_추가
word130,의미_추가
word131,의미_추가
word132,의미_추가
word133,의미_추가
word134,의미_추가
word135,의미_추가
word136,의미_추가
word137,의미_추가
word138,의미_추가
word139,의미_추가
word140,의미_추가
word141,의미_추가
word142,의미_추가
word143,의미_추가
word144,의미_추가
word145,의미_추가
word146,의미_추가
word147,의미_추가
word148,의미_추가
word149,의미_추가
word150,의미_추가
word151,의미_추가
word152,의미_추가
word153,의미_추가
word154,의미_추가
word155,의미_추가
word156,의미_추가
word157,의미_추가
word158,의미_추가
word159,의미_추가
word160,의미_추가
word161,의미_추가
word162,의미_추가
word163,의미_추가
word164,의미_추가
word165,의미_추가
word166,의미_추가
word167,의미_추가
word168,의미_추가
word169,의미_추가
word170,의미_추가
word171,의미_추가
word172,의미_추가
word173,의미_추가
word174,의미_추가
word175,의미_추가
word176,의미_추가
word177,의미_추가
word178,의미_추가
word179,의미_추가
word180,의미_추가
word181,의미_추가
word182,의미_추가
word183,의미_추가
word184,의미_추가
word185,의미_추가
word186,의미_추가
word187,의미_추가
word188,의미_추가
word189,의미_추가
word190,의미_추가
